CommunityName,Sector
ABBEYDALE,NORTHEAST
ACADIA,SOUTH
ALBERT PARK/RADISSON HEIGHTS,EAST
ALPINE PARK,SOUTH
ALTADORE,CENTRE
ALYTH/BONNYBROOK,CENTRE
AMBLETON,NORTH
APPLEWOOD PARK,EAST
ARBOUR LAKE,NORTHWEST
ASPEN WOODS,WEST
AUBURN BAY,SOUTHEAST
AURORA BUSINESS PARK,NORTH
BANFF TRAIL,CENTRE
BANKVIEW,CENTRE
BAYVIEW,SOUTH
BEDDINGTON HEIGHTS,NORTH
BEL-AIRE,CENTRE
BELMONT,SOUTH
BELTLINE,CENTRE
BELVEDERE,EAST
BONAVISTA DOWNS,SOUTH
BOWNESS,NORTHWEST
BRAESIDE,SOUTH
BRENTWOOD,NORTHWEST
BRIDGELAND/RIVERSIDE,CENTRE
BRIDLEWOOD,SOUTH
BRITANNIA,CENTRE
BURNS INDUSTRIAL,CENTRE
CALGARY INTERNATIONAL AIRPORT,NORTHEAST
CAMBRIAN HEIGHTS,CENTRE
CANADA OLYMPIC PARK,WEST
CANYON MEADOWS,SOUTH
CAPITOL HILL,CENTRE
CARRINGTON,NORTH
CASTLERIDGE,NORTHEAST
CEDARBRAE,SOUTH
CFB - CURRIE,WEST
CFB - LINCOLN PARK PMQ,WEST
CHAPARRAL,SOUTH
CHARLESWOOD,NORTHWEST
CHINATOWN,CENTRE
CHINOOK PARK,SOUTH
CHRISTIE PARK,WEST
CITADEL,NORTHWEST
CITYSCAPE,NORTHEAST
CLIFF BUNGALOW,CENTRE
COACH HILL,WEST
COLLINGWOOD,NORTHWEST
COPPERFIELD,SOUTHEAST
CORAL SPRINGS,NORTHEAST
CORNERSTONE,NORTHEAST
COUGAR RIDGE,WEST
COUNTRY HILLS,NORTH
COUNTRY HILLS VILLAGE,NORTH
COVENTRY HILLS,NORTH
CRANSTON,SOUTHEAST
CRESCENT HEIGHTS,CENTRE
CRESTMONT,WEST
CURRIE BARRACKS,WEST
DALHOUSIE,NORTHWEST
DEER RIDGE,SOUTH
DEER RUN,SOUTH
DEERFOOT BUSINESS CENTRE,NORTHEAST
DIAMOND COVE,SOUTH
DISCOVERY RIDGE,WEST
DOUGLASDALE/GLEN,SOUTHEAST
DOVER,EAST
DOWNTOWN COMMERCIAL CORE,CENTRE
DOWNTOWN EAST VILLAGE,CENTRE
DOWNTOWN WEST END,CENTRE
EAGLE RIDGE,SOUTH
EAST FAIRVIEW INDUSTRIAL,SOUTH
EAST SHEPARD INDUSTRIAL,SOUTHEAST
EASTFIELD,EAST
EAU CLAIRE,CENTRE
EDGEMONT,NORTHWEST
ELBOW PARK,CENTRE
ELBOYA,CENTRE
ERIN WOODS,EAST
ERLTON,CENTRE
EVANSTON,NORTH
EVERGREEN,SOUTH
FAIRVIEW,SOUTH
FAIRVIEW INDUSTRIAL,SOUTH
FALCONRIDGE,NORTHEAST
FISH CREEK PARK,SOUTH
FOOTHILLS,EAST
FOREST HEIGHTS,EAST
FOREST LAWN,EAST
FOREST LAWN INDUSTRIAL,EAST
FRANKLIN,NORTHEAST
GARRISON GREEN,WEST
GARRISON WOODS,WEST
GLACIER RIDGE,NORTH
GLAMORGAN,WEST
GLENBROOK,WEST
GLENDALE,WEST
GLENDEER BUSINESS PARK,SOUTH
GLENMORE PARK,SOUTH
GOLDEN TRIANGLE,EAST
GREAT PLAINS,EAST
GREAT PLAINS EAST,EAST
GREENVIEW,CENTRE
GREENVIEW INDUSTRIAL PARK,CENTRE
GREENWOOD/GREENBRIAR,NORTHWEST
HAMPTONS,NORTHWEST
HARVEST HILLS,NORTH
HARVEST HILLS BUSINESS PARK,NORTH
HASKAYNE,NORTHWEST
HAWKWOOD,NORTHEAST
HAYSBORO,SOUTH
HIDDEN VALLEY,NORTH
HIGHFIELD,CENTRE
HIGHLAND PARK,CENTRE
HIGHWOOD,CENTRE
HILLHURST,CENTRE
HOMESTEAD,NORTHEAST
HORIZON,NORTHEAST
HOTCHKISS,SOUTHEAST
HOUNSFIELD HEIGHTS/BRIAR HILL,CENTRE
HUNTINGTON HILLS,NORTH
HUXLEY,SOUTH
INGLEWOOD,CENTRE
KELVIN GROVE,SOUTH
KILLARNEY/GLENGARRY,CENTRE
KINCORA,NORTH
KINGSLAND,SOUTH
LAKE BONAVISTA,SOUTH
LAKEVIEW,WEST
LEGACY,SOUTH
LINCOLN PARK,WEST
LIVINGSTON,NORTH
LOWER MOUNT ROYAL,CENTRE
MACEWAN,NORTH
