Date,Calgary (CER) Unemployment rate (%),Alberta Unemployment Rate (%),Canada Unemployment rate (%),Calgary (CER) Total Employment ('000 Persons),Calgary (CER) Total Employment month-over-month change ('000 Persons),Calgary (CER) Total Employment year-over-year change ('000 Persons),Calgary (CMA) Average Hourly Wage Rate ($),City of Calgary Building Permits Residential Value ($),City of Calgary Building Permits Non-Residential Value ($),Calgary (City) Total Housing Starts (units),Calgary (CMA) Total Housing Starts (units),Calgary (CER) Retail Sales ($billions),Calgary (CMA) Inflation Rate (%change)
1972-01-01,,,,,,,,,,,322,,3.9
1972-02-01,,,,,,,,,,,527,,3.86
1972-03-01,,,,,,,,,,,590,,3.38
1972-04-01,,,,,,,,,,,580,,3.86
1972-05-01,,,,,,,,,,,915,,4.35
1972-06-01,,,,,,,,,,,1147,,4.35
1972-07-01,,,,,,,,,,,609,,4.33
1972-08-01,,,,,,,,,,,567,,4.29
1972-09-01,,,,,,,,,,,455,,4.29
1972-10-01,,,,,,,,,,,412,,4.76
1972-11-01,,,,,,,,,,,532,,5.21
1972-12-01,,,,,,,,,,,391,,4.72
1973-01-01,,,,,,,,,,,454,,5.63
1973-02-01,,,,,,,,,,,424,,4.65
1973-03-01,,,,,,,,,,,571,,6.07
1973-04-01,,,,,,,,,,,710,,6.05
1973-05-01,,,,,,,,,,,641,,6.48
1973-06-01,,,,,,,,,,,818,,6.94
1973-07-01,,,,,,,,,,,488,,7.37
1973-08-01,,,,,,,,,,,557,,7.31
1973-09-01,,,,,,,,,,,347,,8.68
1973-10-01,,,,,,,,,,,883,,7.73
1973-11-01,,,,,,,,,,,696,,7.21
1973-12-01,,,,,,,,,,,392,,8.11
1974-01-01,,,,,,,,,,,692,,7.56
1974-02-01,,,,,,,,,,,413,,8.44
1974-03-01,,,,,,,,,,,623,,8.37
1974-04-01,,,,,,,,,,,824,,8.77
1974-05-01,,,,,,,,,,,510,,9.57
1974-06-01,,,,,,,,,,,948,,10.39
1974-07-01,,,,,,,,,,,549,,10.3
1974-08-01,,,,,,,,,,,374,,10.21
1974-09-01,,,,,,,,,,,357,,9.66
1974-10-01,,,,,,,,,,,415,,11.81
1974-11-01,,,,,,,,,,,412,,12.61
1974-12-01,,,,,,,,,,,370,,12.5
1975-01-01,,,,,,,,,,,299,,12.4
1975-02-01,,,,,,,,,,,312,,11.89
1975-03-01,,,,,,,,,,,432,,11.38
