PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2009-04382,2009/05/12,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-06206,2009/06/19,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2009-08153,2009/07/28,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2009-09984,2009/09/01,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2009-10215,2009/09/04,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2009-10179,2009/09/04,Residential Improvement Project,Building,1111 - Attached At Grade Suite,Additional Dwelling,Residential,Alteration,
BP2009-10973,2009/09/21,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-11596,2009/10/01,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-12323,2009/10/16,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-12795,2009/10/26,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-13460,2009/11/06,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2009-14457,2009/11/27,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-00461,2010/01/15,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-01074,2010/01/29,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-04204,2010/04/12,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-05990,2010/05/13,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Deck
BP2010-06189,2010/05/18,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-06963,2010/06/01,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-07749,2010/06/14,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-08886,2010/07/07,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Basement Dev
BP2010-09519,2010/07/21,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,"Addition, Deck"
BP2010-09782,2010/07/27,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-10096,2010/08/04,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-10365,2010/08/10,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-10937,2010/08/20,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-10924,2010/08/20,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-11071,2010/08/25,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-11233,2010/08/27,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,Alteration,
BP2010-11551,2010/09/03,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-11610,2010/09/07,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-11606,2010/09/07,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-11888,2010/09/14,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-12488,2010/09/27,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-12480,2010/09/27,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-12724,2010/10/01,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-13494,2010/10/21,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-13875,2010/10/28,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-13915,2010/10/29,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Basement Dev
BP2010-14141,2010/11/04,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-14499,2010/11/12,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2010-14508,2010/11/15,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-15059,2010/12/01,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2010-15156,2010/12/03,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00093,2011/01/06,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00133,2011/01/07,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00239,2011/01/11,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00300,2011/01/12,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-00625,2011/01/20,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00665,2011/01/21,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-00820,2011/01/27,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-01068,2011/02/03,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-01097,2011/02/04,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,"Addition, Deck, Fireplace"
BP2011-01156,2011/02/08,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-01378,2011/02/14,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-02080,2011/03/07,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-02140,2011/03/08,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-02359,2011/03/14,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-02416,2011/03/15,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-02531,2011/03/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-02805,2011/03/24,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-03166,2011/04/01,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-03337,2011/04/05,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-03637,2011/04/11,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-03622,2011/04/11,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-03812,2011/04/14,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-03858,2011/04/15,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-03955,2011/04/18,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Basement Dev
BP2011-04020,2011/04/19,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-04118,2011/04/21,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-04784,2011/05/05,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-05244,2011/05/13,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-05875,2011/05/25,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-06006,2011/05/27,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-06148,2011/05/31,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-06135,2011/05/31,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-06107,2011/05/31,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-06187,2011/06/01,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-06261,2011/06/02,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-06316,2011/06/03,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-07128,2011/06/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-07141,2011/06/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-07279,2011/06/21,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-07372,2011/06/22,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-07532,2011/06/24,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-07668,2011/06/28,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-07665,2011/06/28,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-08365,2011/07/11,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-08463,2011/07/12,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-08449,2011/07/12,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-08583,2011/07/14,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-09024,2011/07/22,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-09332,2011/07/28,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-10162,2011/08/16,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-10259,2011/08/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-10310,2011/08/18,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-10498,2011/08/22,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-10603,2011/08/24,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-11046,2011/08/31,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-11164,2011/09/02,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-11505,2011/09/12,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-11676,2011/09/14,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-12387,2011/09/28,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-12922,2011/10/07,Residential Improvement Project,Building,1111 - Attached At Grade Suite,Additional Dwelling,Residential,Addition,Addition
BP2011-12998,2011/10/11,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13246,2011/10/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13282,2011/10/17,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13440,2011/10/19,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13489,2011/10/20,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13482,2011/10/20,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-13627,2011/10/24,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Basement Dev
BP2011-13862,2011/10/27,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,
BP2011-14033,2011/10/31,Residential Improvement Project,Building,1113 - Detached Garage Dwelling Unit,Additional Dwelling,Residential,New,
BP2011-14098,2011/11/02,Residential Improvement Project,Building,1110 - Below Grade Suite,Secondary Suites,Residential,Alteration,Basement Dev
