PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2022-18525,2022/11/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2022-09812,2022/06/07,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2022-17801,2022/10/21,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2021-19258,2021/11/08,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2023-13504,2023/08/15,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2000-07516,2000/07/11,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2009-07707,2009/07/20,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2000-01093,2000/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2015-09447,2015/07/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2003-09293,2003/07/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2006-07445,2006/05/03,Demolition,Demolition,1301 - Detached Garage,Garage,Residential,Demolition,
BP2004-03974,2004/04/08,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP1999-11951,1999/10/13,Demolition,Demolition,1105 - Retaining Wall,Single Family,Residential,Demolition,
BP2000-10983,2000/10/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2004-16803,2004/12/23,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2001-08061,2001/07/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2023-14441,2023/08/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2023-14521,2023/08/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2014-11592,2014/07/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2000-01950,2000/03/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2023-01549,2023/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2023-09675,2023/06/20,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2022-11760,2022/07/06,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2023-09745,2023/06/20,Demolition,Demolition,9999 - Unspecified,Unspecified,Unspecified,Demolition,
BP2023-09947,2023/06/23,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
