PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2010-00063,2010/01/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00127,2010/01/07,Demolition,Demolition,3302 - Dealership,Commercial,Non-Residential,Demolition,
BP2010-00197,2010/01/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00202,2010/01/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00180,2010/01/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00222,2010/01/11,Demolition,Demolition,3106 - Retail Shop,Commercial,Non-Residential,Demolition,
BP2010-00224,2010/01/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00277,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00272,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00273,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00297,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00304,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00302,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00300,2010/01/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00338,2010/01/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00353,2010/01/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00321,2010/01/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00336,2010/01/13,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00414,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00381,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00382,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00384,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00391,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00380,2010/01/14,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00478,2010/01/15,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00606,2010/01/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00603,2010/01/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00600,2010/01/19,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00701,2010/01/21,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2010-00702,2010/01/21,Demolition,Demolition,3204 - Warehouse/Office,Commercial,Non-Residential,Demolition,
BP2010-00744,2010/01/22,Demolition,Demolition,3402 - Office,Commercial,Non-Residential,Demolition,
BP2010-00781,2010/01/22,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00836,2010/01/25,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-00889,2010/01/26,Demolition,Demolition,6308 - Transportation,Government,Non-Residential,Demolition,
BP2010-00965,2010/01/27,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01040,2010/01/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01018,2010/01/28,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01121,2010/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01130,2010/02/01,Demolition,Demolition,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,Demolition,
BP2010-01129,2010/02/01,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01184,2010/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01179,2010/02/02,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01307,2010/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01309,2010/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01300,2010/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01287,2010/02/04,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01359,2010/02/05,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01425,2010/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01393,2010/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01394,2010/02/08,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01484,2010/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01448,2010/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01483,2010/02/09,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01509,2010/02/10,Demolition,Demolition,3401 - Bank,Commercial,Non-Residential,Demolition,
BP2010-01487,2010/02/10,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01561,2010/02/11,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01611,2010/02/12,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01723,2010/02/16,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01763,2010/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01794,2010/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
BP2010-01785,2010/02/17,Demolition,Demolition,1106 - House,Single Family,Residential,Demolition,
