PermitNum,AppliedDate,PermitType,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2019-06451,2019/05/28,Commercial / Multi Family Project,5299 - Medical Misc.,Institutional,Non-Residential,New,New - Group D/F3 - Christie Park Medical Clinic Building
BP2021-21548,2021/12/21,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Enright 7257 - Office Warehouse Building
BP2022-00193,2022/01/06,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,Bowness 24 - 3 Storey Apartment
BP2023-07649,2023/05/24,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Mahogany Village Commons Building C
BP2020-09163,2020/07/10,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,Mahogany Village Commons - Building F
BP2022-03925,2022/03/16,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,Car Wash
BP2023-09665,2023/06/20,Commercial / Multi Family Project,6399 - Municipal/Commercial Misc.,Government,Non-Residential,New,
BP2019-13991,2019/10/11,Commercial / Multi Family Project,3607 - Hotel/Motel,Commercial,Non-Residential,New,Hampton Inn by Hilton
BP2022-15333,2022/09/07,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,Phase 2 Alexandria House Currie Green
BP2020-09159,2020/07/10,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Mahogany Village Commons - Building B
BP2019-12133,2019/09/05,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,New Building
BP2020-10040,2020/07/27,Commercial / Multi Family Project,5302 - Senior Citizen Homes,Institutional,Non-Residential,New,
BP2023-09867,2023/06/22,Commercial / Multi Family Project,2501 - Animal Husbandry,Industrial,Non-Residential,New,
BP2021-14004,2021/08/10,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Carrington Green Commercial - Building B
BP2023-09886,2023/06/22,Commercial / Multi Family Project,3507 - Community Centre,Commercial,Non-Residential,New,Part 9 Group F2 Medium Industrial
BP2022-05021,2022/03/31,Commercial / Multi Family Project,5301 - Child Care Facility,Institutional,Non-Residential,New,"Carrington Green Commercial, Phase 3 - Building C"
BP2023-12292,2023/07/28,Commercial / Multi Family Project,5105 - Day-Care,Institutional,Non-Residential,New,New Building (Brightpath Mahogany Daycare
BP2020-18511,2020/12/18,Commercial / Multi Family Project,6299 - Provincial/Commercial Misc.,Government,Non-Residential,New,New Public Washroom Building
BP2023-00990,2023/01/26,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Warehouse - New Buildings - Jacksonport Industrial Development
BP2021-21248,2021/12/15,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Proposed Sprung Tent Structure
BP2022-16285,2022/09/23,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,Wolfe Chevrolet GMC Buick Calgary - Building B: 2 storey car dealership building
BP2022-09935,2022/06/08,Commercial / Multi Family Project,3608 - Restaurant,Commercial,Non-Residential,New,Group A2 Assembly 3.2.2.24.
BP2021-01304,2021/01/26,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,"New Builing- Jacksonport Point Building ""D"""
BP2021-08963,2021/05/25,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,"Jacksonport Point - New Building C:  one-storey, 12 commercial bays retail building"
BP2021-17387,2021/10/06,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Commercial Building(Building B)
BP2021-17389,2021/10/06,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,new Commercial Building
BP2023-02095,2023/02/21,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,4-car garage.
BP2021-18665,2021/10/28,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Starfield Industrial Condos - Office/Warehouse Building
BP2022-16048,2022/09/19,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Point Trotter Building 1
BP2023-00896,2023/01/24,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,Ramsey Crossing - Replacement Quonset
BP2023-02912,2023/03/09,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Mixed Use Group E & F3
BP2023-04819,2023/04/12,Commercial / Multi Family Project,5105 - Day-Care,Institutional,Non-Residential,New,New Base Building
BP2023-04861,2023/04/13,Commercial / Multi Family Project,3108 - Liquor Store,Commercial,Non-Residential,New,New Base Building
BP2023-01914,2023/02/15,Commercial / Multi Family Project,6306 - Parks,Government,Non-Residential,New,Accessory Building
BP2016-03324,2016/04/12,Commercial / Multi Family Project,5301 - Child Care Facility,Institutional,Non-Residential,New,"New Auburn Daycare Building-  2 storey, 70 children Daycare"
BP2022-15750,2022/09/14,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building
BP2022-19156,2022/11/22,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,"BLOCK 5 - A new 6 unit rowhouse, Part 9, Group C occupancy classified under 9.10.2.1."
BP2023-02322,2023/02/24,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building - Commercial Strip Mall
BP2019-16006,2019/11/26,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,Centaur Subaru Vehicle Dealership
BP2023-04863,2023/04/13,Commercial / Multi Family Project,3613 - Restaurant - Licensed,Commercial,Non-Residential,New,New Base Building
BP2022-20017,2022/12/13,Commercial / Multi Family Project,2507 - Veterinary Clinic,Industrial,Non-Residential,New,Group E Retail 3.2.2.64.
BP2022-19944,2022/12/11,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New 2 Storey Mixed Use
BP2022-20111,2022/12/15,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New 2 Storey Mixed Use
BP2023-05246,2023/04/19,Commercial / Multi Family Project,3299 - Storage/Warehouse Misc.,Commercial,Non-Residential,New,
BP2022-19606,2022/12/01,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New 3-Unit Rowhouse (Bldg 5)
BP2022-15895,2022/09/16,Commercial / Multi Family Project,3304 - Repair Garage,Commercial,Non-Residential,New,New West Truck Centre Autobody Shop
BP2023-02187,2023/02/22,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,Base Building - Group D / E
BP2022-15754,2022/09/14,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New Building
BP2023-04987,2023/04/14,Commercial / Multi Family Project,2203 - Tower,Industrial,Non-Residential,New,
BP2022-16282,2022/09/23,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,"Wolfe Cadillac Calgary Automotive Dealership, Group F2"
BP2022-18567,2022/11/07,Commercial / Multi Family Project,3703 - Beauty Shop,Commercial,Non-Residential,New,New small building.
BP2023-05215,2023/04/19,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New Base Building
BP2023-02233,2023/02/23,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,Warehouse - New Building - Starfield Industrial Building 5
BP2023-05108,2023/04/17,Commercial / Multi Family Project,6306 - Parks,Government,Non-Residential,New,New outdoor Stage and Canopy
BP2022-20368,2022/12/21,Commercial / Multi Family Project,6399 - Municipal/Commercial Misc.,Government,Non-Residential,New,Part 9 Residential & Group F3
BP2022-15844,2022/09/15,Commercial / Multi Family Project,2306 - Parking Garage,Industrial,Non-Residential,New,"Single storey, open air carport, Group F3"
BP2023-13145,2023/08/10,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2019-02001,2019/02/27,Commercial / Multi Family Project,2114 - Meat Packing Plant,Industrial,Non-Residential,New,Sofina Foods Inc. (Poultry Facility)
BP2021-18803,2021/11/01,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Barlow Crossing Building 6
BP2022-13491,2022/08/05,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Jacksonport Gate - Building A: one storey, 9 commercial units"
BP2022-08397,2022/05/18,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,Nolan Hill Building D - Gas Bar Canopy
BP2019-15563,2019/11/15,Commercial / Multi Family Project,5201 - Hospital,Institutional,Non-Residential,New,New office building with parkade for the Centre for Child and Adolescent Mental Health
BP2019-17235,2019/12/23,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,Base building Nolan Hill Centre Bld. D / Wash Bay / Gas Bar
BP2021-02014,2021/02/09,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Multi-Use Building.
BP2022-13237,2022/08/02,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Stonegate Landing, Phase 5 - Building B1: 1 storey office - warehouse building"
BP2022-13238,2022/08/02,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Stonegate Landing, Phase 5 - Building B2: 1 storey office - warehouse building"
BP2023-10287,2023/06/28,Commercial / Multi Family Project,2382 - Water Pumping Station,Industrial,Non-Residential,New,
BP2016-13393,2016/10/31,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Livingston Temporary Sales Centre
BP2023-02549,2023/03/02,Commercial / Multi Family Project,2411 - Sewage Treatment,Industrial,Non-Residential,New,Bonnybrook Wastewater Treatment Plant - Plant D Expansion - Waste Gas Burners Building
BP2021-07787,2021/05/07,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,Two unit town house with secondary suites.
BP2019-16117,2019/11/28,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New 2 storey building
BP2023-08061,2023/05/29,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,Recreation Facility - New Building - Chinook 58 Speeders
BP2023-10288,2023/06/28,Commercial / Multi Family Project,2382 - Water Pumping Station,Industrial,Non-Residential,New,Prairie Sky Cemetery - Irrigation Stormwater Supply System
BP2022-14129,2022/08/17,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Fresh Taste - Office - Warehouse: 2 storey grocery distribution building
BP2021-04218,2021/03/19,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New multifamily residential
BP2021-09579,2021/06/01,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,New building (Bldg B Cornerstone Commercial Centre).)
BP2023-12891,2023/08/08,Commercial / Multi Family Project,3203 - Warehouse,Commercial,Non-Residential,New,
BP2023-12930,2023/08/08,Commercial / Multi Family Project,3510 - Recreation Facility,Commercial,Non-Residential,New,
BP2023-13183,2023/08/10,Commercial / Multi Family Project,7103 - Special Function - Class 1,Special Function Ten,Non-Residential,New,Temporary Tents/ Special Event
BP2022-16161,2022/09/21,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,New 2 Storey Warehouse Office Unit A Accurate Screen Unit B Vacant
BP2022-16265,2022/09/22,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,CAR WASH - New Building - Mahogany Storage and Carwash
BP2021-09581,2021/06/01,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,Cornerstone Shopping Centre - Building A 1155 CORNERSTONE BV NE
BP2021-09583,2021/06/01,Commercial / Multi Family Project,3107 - Shopping Centre,Commercial,Non-Residential,New,New Commercial Retail Building - Cornerstone Commercial Building C
BP2022-13239,2022/08/02,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Stonegate Landing, Phase 5 - Building B3: 1 storey office - warehouse building"
BP2022-13241,2022/08/02,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,"Stonegate Landing, Phase 5 - Building B4: 1 storey office - warehouse building"
BP2021-10251,2021/06/10,Commercial / Multi Family Project,3302 - Dealership,Commercial,Non-Residential,New,Automotive Dealership - Country Hills  Chrysler
BP2023-02934,2023/03/09,Commercial / Multi Family Project,2599 - Indust/Agriculture/Forestry Misc.,Industrial,Non-Residential,New,Good Leaf Racking Permit Only
BP2022-01777,2022/02/04,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New 4-plex townhouse.
BP2022-06387,2022/04/21,Commercial / Multi Family Project,2302 - Auto Rental,Industrial,Non-Residential,New,Driving Force Calgary Facility
BP2023-07941,2023/05/26,Commercial / Multi Family Project,3507 - Community Centre,Commercial,Non-Residential,New,
BP2023-00158,2023/01/05,Commercial / Multi Family Project,4002 - Vacant,General,Non-Residential,New,New 4 Unit Rowhouse
BP2022-08480,2022/05/19,Commercial / Multi Family Project,3108 - Liquor Store,Commercial,Non-Residential,New,Group E Mercantile 3.2.2.68.
BP2023-00170,2023/01/06,Commercial / Multi Family Project,3204 - Warehouse/Office,Commercial,Non-Residential,New,Cambridge Holdings Commercial Facility
BP2023-05651,2023/04/25,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,
BP2023-08249,2023/05/31,Commercial / Multi Family Project,"5111 - School, Separate",Institutional,Non-Residential,New,"Installation of 2 modular classroom, Group A2"
BP2023-08205,2023/05/31,Commercial / Multi Family Project,6305 - Fire,Government,Non-Residential,New,
BP2018-04896,2018/05/01,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,New - Group D/E - Livery Building
BP2022-18543,2022/11/07,Commercial / Multi Family Project,3402 - Office,Commercial,Non-Residential,New,Group D Office 3.2.2.62.
BP2023-13152,2023/08/10,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,
BP2022-10257,2022/06/13,Commercial / Multi Family Project,3614 - Restaurant - Licensed And Drinking Establishment,Commercial,Non-Residential,New,Multi Use - 2 storey building - Restaurant Office Building
BP2023-02910,2023/03/09,Commercial / Multi Family Project,2399 - Indust/Utility Misc.,Industrial,Non-Residential,New,Carewest Glenmore Booster Pump Building
BP2022-15353,2022/09/07,Commercial / Multi Family Project,3106 - Retail Shop,Commercial,Non-Residential,New,Sage Hill Commons Mixed Use Building C
BP2023-00252,2023/01/09,Commercial / Multi Family Project,3303 - Gas Bar,Commercial,Non-Residential,New,Restaurant & Convenience Store - New Building - Shell 32nd Ave - Cstore/QSR/Canopy
BP2023-00255,2023/01/09,Commercial / Multi Family Project,3301 - Car Wash,Commercial,Non-Residential,New,Car Wash - Base Building & Fit-out - Shell 32nd Ave - Carwash
