PermitNum,AppliedDate,PermitType,PermitTypeMapped,PermitClass,PermitClassGroup,PermitClassMapped,WorkClass,Description
BP2000-00113,2000/01/06,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,new industrial building
BP2000-00148,2000/01/07,Commercial / Multi Family Project,Building,3303 - Gas Bar,Commercial,Non-Residential,New,New Gas Bar Canopy
BP2000-00116,2000/01/07,Commercial / Multi Family Project,Building,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,New communication tower - shelter
BP2000-00224,2000/01/11,Commercial / Multi Family Project,Building,5199 - Education Misc.,Institutional,Non-Residential,New,"New Rec, Ed, and Library"
BP2000-00247,2000/01/12,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Building
BP2000-00257,2000/01/13,Commercial / Multi Family Project,Building,"3403 - Office, Medical",Commercial,Non-Residential,New,new office building
BP2000-00417,2000/01/19,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Garden Tent
BP2000-00702,2000/01/27,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New Commercial Building
BP2000-00906,2000/02/02,Commercial / Multi Family Project,Building,3401 - Bank,Commercial,Non-Residential,New,New bank building
BP2000-00911,2000/02/02,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,2 new buildings
BP2000-00970,2000/02/03,Commercial / Multi Family Project,Building,3105 - Repair Shop,Commercial,Non-Residential,New,New Commercial Building
BP2000-01036,2000/02/04,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,New garden centre
BP2000-01035,2000/02/04,Commercial / Multi Family Project,Building,3603 - Cafe,Commercial,Non-Residential,New,New Commercial Building
BP2000-01015,2000/02/04,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,New complex shell only
BP2000-01044,2000/02/07,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,2 new buildings
BP2000-01189,2000/02/10,Commercial / Multi Family Project,Building,3204 - Warehouse/Office,Commercial,Non-Residential,New,New Industrial Building
BP2000-01215,2000/02/11,Commercial / Multi Family Project,Building,3402 - Office,Commercial,Non-Residential,New,New Office Complex
BP2000-01255,2000/02/14,Commercial / Multi Family Project,Building,3510 - Recreation Facility,Commercial,Non-Residential,New,Temporary tents on Eau Claire and Prince's Island(3 tents)
BP2000-01292,2000/02/15,Commercial / Multi Family Project,Building,3401 - Bank,Commercial,Non-Residential,New,New Building
BP2000-01373,2000/02/17,Commercial / Multi Family Project,Building,3608 - Restaurant,Commercial,Non-Residential,New,NEW REATAURANT AND USE PERMIT
BP2000-01400,2000/02/18,Commercial / Multi Family Project,Building,3107 - Shopping Centre,Commercial,Non-Residential,New,New Commercial
BP2000-01390,2000/02/18,Commercial / Multi Family Project,Building,2115 - Machine Shop,Industrial,Non-Residential,New,New Building and Partial
BP2000-01423,2000/02/18,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary Garden Centre Tent
BP2000-01393,2000/02/18,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,Temporary sales trailer.
BP2000-01477,2000/02/22,Commercial / Multi Family Project,Building,2115 - Machine Shop,Industrial,Non-Residential,New,new office and shop building
BP2000-01558,2000/02/23,Commercial / Multi Family Project,Building,2379 - Indust/Communication Misc.,Industrial,Non-Residential,New,antenna structure and shelter
BP2000-01567,2000/02/24,Commercial / Multi Family Project,Building,2498 - Engineer/Communication Misc.,Industrial,Non-Residential,New,antenna tower and shelter
BP2000-01616,2000/02/25,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,new garden centre tent
BP2000-01634,2000/02/25,Commercial / Multi Family Project,Building,3301 - Car Wash,Commercial,Non-Residential,New,New car wash building
BP2000-01622,2000/02/25,Commercial / Multi Family Project,Building,3109 - Retail Food Store,Commercial,Non-Residential,New,new commercial building
BP2000-01615,2000/02/25,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,new garden centre  tent
BP2000-01680,2000/02/28,Commercial / Multi Family Project,Building,3106 - Retail Shop,Commercial,Non-Residential,New,FOOD STORE AND GAS BAR
BP2000-01681,2000/02/28,Commercial / Multi Family Project,Building,2199 - Indust/Manufacture Misc.,Industrial,Non-Residential,New,New Office Building and Shop
